0,1,2,3
64,-56,-88,328
-312,-424,-328,-392
272,-408,-312,-392
312,-440,-320,-416
304,-416,-304,-368
304,-392,-304,-376
288,-432,-320,-408
296,-448,-320,-384
272,-408,-320,-416
320,-400,-304,-360
312,-432,-304,-416
288,-416,-304,-384
280,-456,-336,-400
26384,-168,0,688
60,-160,0,648
52,-160,-24,672
60,-184,-32,640
60,-192,16,688
00,-152,24,712
04,-112,80,808
08,-56,128,840
24,-16,160,880
68,24,216,912
64,128,280,984
28,160,320,1024
84,240,344,1120
040,272,408,1152
064,304,488,1192
160,376,536,1296
184,424,520,1232
056,232,288,928
56,-32,-48,408
12,-216,-168,48
36,-280,-200,-104
4,-320,-208,-216
96,-344,-248,-288
104,-360,-240,-328
136,-384,-272,-296
240,-440,-288,-320
240,-424,-312,-288
248,-432,-280,-288
136,-384,-248,-232
32,-352,-232,-208
,-328,-264,-152
6,-336,-224,-160
52,-296,-224,-136
24,-224,-208,-136
68,-160,-184,-24
12,-88,-104,72
08,-16,-64,248
36,16,48,368
68,88,152,480
92,152,256,600
16,184,272,608
64,232,328,624
44,288,320,680
032,304,384,728
088,352,432,792
192,424,488,928
224,448,480,1040
248,528,576,1176
264,520,616,1296
144,448,608,1288
56,160,464,1224
36,-56,160,944
16,-160,-24,656
2,-272,-152,416
48,-312,-200,232
,-256,-152,312
2,-256,-128,376
36,-232,-112,448
60,-240,-112,440
88,-200,-56,504
64,-144,48,616
80,-72,64,592
00,56,128,528
96,160,168,496
28,160,168,520
44,192,224,616
52,232,240,696
84,192,232,776
024,224,224,872
12,128,112,696
80,-40,-104,360
56,-152,-128,80
88,-216,-200,-80
36,-272,-224,-184
24,-360,-216,-288
104,-368,-248,-304
128,-392,-256,-312
128,-360,-224,-272
192,-384,-280,-288
200,-400,-256,-312
240,-416,-248,-280
184,-408,-256,-216
120,-376,-240,-192
48,-384,-264,-152
8,-336,-240,-112
04,-296,-200,-48
00,-272,-200,0
12,-224,-144,96
32,-176,-104,160
88,-96,-56,216
92,-8,32,288
16,0,48,328
12,56,104,392
16,112,96,488
96,144,184,576
000,184,256,720
056,232,336,912
048,256,336,1000
088,304,344,1088
048,256,280,904
80,88,8,568
04,-128,-104,136
84,-248,-208,-128
0,-328,-184,-208
,-320,-208,-256
48,-368,-224,-248
64,-376,-216,-200
128,-392,-248,-232
208,-424,-264,-224
224,-408,-288,-264
272,-384,-312,-280
240,-400,-320,-240
184,-344,-288,-168
152,-360,-256,-16
88,-304,-232,128
40,-272,-176,240
04,-256,-144,392
44,-200,-40,592
84,-80,48,728
44,24,152,760
28,144,192,728
032,224,176,640
048,272,160,592
12,160,80,504
68,96,80,408
88,32,24,304
08,24,8,224
04,-32,-16,168
40,-40,-32,136
64,-32,-48,168
04,-16,16,200
16,32,40,264
28,104,72,312
40,176,120,448
52,224,192,512
024,240,192,568
056,264,232,704
064,264,296,840
072,256,224,776
12,120,24,504
00,-104,-120,152
16,-216,-184,-56
,-336,-208,-216
96,-360,-216,-272
168,-376,-272,-304
160,-384,-256,-328
184,-408,-304,-288
248,-376,-296,-320
288,-424,-264,-344
232,-408,-288,-288
152,-344,-288,-232
72,-352,-256,-96
0,-304,-184,120
56,-240,-160,312
04,-160,-24,592
84,24,88,760
84,152,72,680
20,144,0,416
16,0,-96,144
92,-160,-144,-8
04,-224,-160,-56
20,-296,-216,-104
4,-328,-216,-160
32,-352,-208,-200
152,-368,-256,-240
224,-384,-256,-336
288,-392,-264,-400
336,-400,-280,-376
296,-416,-272,-368
320,-408,-296,-352
296,-392,-272,-352
328,-384,-264,-320
344,-392,-288,-320
264,-400,-288,-232
192,-336,-272,-160
152,-360,-256,-96
88,-320,-216,80
8,-312,-192,208
20,-224,-120,360
40,-64,-24,536
20,104,32,544
60,176,48,560
84,48,-40,384
32,-144,-128,48
12,-280,-192,-168
88,-376,-264,-272
240,-392,-256,-360
200,-408,-240,-328
200,-400,-216,-336
256,-352,-248,-320
248,-400,-256,-328
224,-408,-256,-368
184,-400,-240,-296
96,-344,-216,-248
12,-304,-184,-80
36,-232,-160,112
28,-128,-80,352
56,-88,-56,464
32,-96,-64,408
