0,1,2,3
84,-32,32,312
8,-56,112,336
12,-8,176,440
92,32,88,368
68,-8,8,328
36,80,-40,264
36,16,-80,264
04,-48,-40,56
8,-240,-64,48
20,-72,-136,32
52,8,-136,-136
60,-144,-144,-24
6,-272,-168,-224
280,-368,-288,-408
304,-376,-296,-424
1024,1576,872,200
024,1632,936,208
040,1656,976,264
04,1536,800,152
80,1008,376,-56
68,536,56,-152
6,280,-24,-168
4,344,-16,-152
52,472,32,-160
28,608,64,-152
84,728,136,-152
08,984,288,-88
60,1312,680,72
152,1528,1048,328
280,1448,1200,488
264,1416,1200,440
096,1288,984,336
04,1024,792,280
40,960,728,216
48,960,712,168
48,1064,656,136
88,1104,592,120
72,1120,576,120
60,1144,536,128
20,1120,520,72
92,1096,408,-8
40,968,296,-128
80,816,184,-144
92,736,104,-184
48,712,112,-176
64,800,128,-152
96,880,232,-128
60,936,344,-104
40,968,344,-72
88,1032,392,-48
24,1096,544,8
36,1168,696,144
008,1176,792,208
68,1176,800,232
064,1264,872,248
112,1416,904,304
224,1464,992,344
296,1576,1096,400
376,1712,1184,464
456,1800,1304,520
520,1888,1424,624
536,1920,1432,624
496,1928,1384,552
440,1928,1320,544
368,1880,1296,528
248,1840,1192,416
080,1712,976,256
60,1392,624,88
44,1104,408,0
76,840,264,-112
64,704,192,-96
64,624,136,-136
60,712,152,-120
12,832,240,-72
64,1040,360,-32
64,1304,576,32
088,1512,784,176
336,1688,1016,304
440,1792,1200,480
504,1768,1288,504
400,1752,1248,472
328,1792,1152,408
184,1736,1080,312
136,1736,1024,280
120,1704,1000,280
92,1600,912,232
88,1504,776,112
32,1456,720,152
60,1384,624,80
96,1088,400,-40
00,664,120,-128
0,440,16,-128
2,432,8,-176
8,448,0,-208
92,512,-8,-184
40,584,48,-224
72,616,48,-216
36,672,144,-208
00,712,160,-208
24,760,184,-184
44,816,240,-152
56,936,336,-88
92,976,488,-8
24,976,624,64
72,1008,688,160
72,1008,704,152
72,1072,680,104
40,1080,600,56
92,1096,600,24
00,1168,592,40
00,1192,600,32
84,1232,648,16
64,1320,672,40
20,1400,696,72
12,1512,784,104
52,1520,808,128
016,1608,896,176
112,1672,1000,256
096,1704,992,272
04,1584,880,144
96,1272,616,24
64,968,368,-48
72,744,200,-120
68,544,72,-176
76,528,64,-128
84,520,16,-160
32,520,56,-152
04,608,64,-152
76,632,64,-144
48,736,104,-104
92,920,216,-80
12,1152,400,-16
000,1440,624,96
232,1608,960,288
480,1712,1224,552
512,1760,1320,600
528,1768,1280,584
520,1832,1304,560
512,1872,1304,600
448,1848,1272,496
328,1800,1160,416
224,1792,1128,384
176,1768,1056,336
128,1744,1040,304
84,1352,632,104
20,736,224,-56
04,448,48,-152
4,312,-32,-184
8,336,-40,-168
00,432,-16,-160
36,600,64,-128
56,744,136,-120
76,880,192,-104
36,1088,296,-56
84,1344,496,80
240,1560,800,240
264,1664,936,264
272,1664,888,288
256,1656,880,288
232,1624,864,240
200,1656,968,264
200,1688,1032,320
144,1688,1016,320
096,1672,992,304
208,1784,1168,416
224,1816,1168,416
200,1768,1128,392
000,1624,936,232
00,1208,504,48
28,856,272,-72
88,728,216,-64
40,760,208,-144
24,880,272,-88
12,992,312,-88
52,1032,320,-104
92,1000,344,-112
00,944,344,-104
84,952,304,-120
76,848,296,-120
84,848,288,-128
84,888,296,-120
60,904,312,-128
76,928,320,-168
28,1008,320,-128
28,1016,336,-112
44,1024,312,-72
20,960,336,-112
72,960,296,-104
56,960,296,-72
80,1008,344,-56
24,1168,512,8
60,1344,624,80
56,1400,736,120
60,1488,792,128
064,1616,888,200
224,1608,920,216
288,1616,936,296
320,1672,960,352
400,1672,1048,416
456,1672,1120,472
280,1624,944,304
032,1392,600,104
76,1088,312,-40
28,832,144,-120
48,784,96,-168
80,800,112,-160
32,704,72,-184
12,576,40,-184
60,376,-64,-224
6,248,-88,-224
24,208,-88,-232
24,168,-152,-232
