 1000,1056,128,104,496,1416,1904,616
1128,1232,232,144,536,1592,1728,512
1296,1432,272,208,512,1672,1608,344
1568,1528,368,304,432,1576,1520,304
1632,1488,360,352,296,1424,1376,232
1648,1232,248,320,168,1224,1256,160
1416,976,176,208,136,976,1168,120
1200,792,88,112,104,848,1144,64
952,656,72,96,104,784,1104,32
824,624,16,56,88,744,1192,144
776,608,-8,16,144,776,1328,192
768,616,-24,-8,192,872,1552,344
800,728,56,48,280,984,1688,472
856,816,64,80,368,1160,1832,544
936,904,64,88,488,1352,1896,640
1016,1096,160,120,576,1512,1888,624
1112,1296,224,160,608,1640,1736,520
1280,1456,336,224,560,1656,1640,416
1384,1504,360,264,496,1632,1520,312
1584,1552,384,312,368,1536,1464,224
1688,1448,336,368,304,1392,1352,176
1680,1288,272,328,176,1200,1224,136
1472,1128,240,320,136,1064,1176,128
1232,888,104,120,80,912,1144,88
1032,768,88,96,104,856,1176,72
880,720,72,64,136,888,1328,176
864,808,80,48,256,1056,1672,408
856,808,40,56,360,1120,1792,528
880,904,88,96,464,1304,1920,656
976,1072,128,96,592,1456,2040,680
1040,1160,192,144,664,1632,1880,712
1168,1392,304,160,712,1704,1720,560
1336,1576,392,184,664,1776,1608,448
1480,1712,464,312,640,1800,1520,384
1680,1752,512,400,520,1736,1464,256
1744,1640,464,416,368,1536,1360,216
1720,1504,368,392,304,1400,1320,176
1632,1360,280,288,272,1280,1280,120
1480,1200,248,248,224,1200,1256,136
1240,1080,216,152,216,1176,1304,168
1128,984,112,120,224,1136,1376,192
1056,952,136,136,232,1152,1472,272
1040,968,112,112,352,1216,1656,400
952,976,96,80,440,1296,1784,552
944,992,96,104,496,1368,1944,656
944,1064,104,104,568,1512,1976,768
1056,1168,160,176,648,1600,1928,688
1104,1304,208,144,648,1664,1752,576
1280,1440,304,200,560,1680,1656,400
1432,1528,368,248,488,1600,1528,304
1624,1568,384,344,344,1536,1392,208
1712,1496,344,376,304,1384,1304,152
1664,1312,288,328,216,1192,1224,152
1496,1080,184,224,168,1048,1144,88
1280,848,144,152,88,880,1104,56
1008,664,48,48,40,776,1088,80
792,552,40,0,64,664,1080,88
736,528,40,-32,120,632,1184,136
672,520,-24,8,144,672,1280,216
664,560,-8,32,208,784,1448,296
744,664,16,0,176,936,1584,336
808,776,32,48,232,1056,1600,336
936,888,48,48,264,1184,1552,304
1048,1000,104,136,280,1208,1488,288
1216,1064,128,104,176,1088,1304,176
1320,960,136,184,80,952,1152,96
1360,856,128,240,48,856,1096,56
1208,648,80,120,64,696,912,-24
960,440,64,80,0,520,800,-40
856,328,16,32,0,456,784,-32
704,320,-40,-24,16,416,816,24
600,336,-48,-72,32,408,880,16
536,328,-32,-72,56,408,960,72
520,424,-40,0,64,552,1224,232
688,520,-8,-48,176,728,1432,352
776,736,8,32,232,968,1576,384
904,904,88,32,256,1120,1528,280
1032,1040,120,80,288,1184,1400,280
1280,1144,168,160,240,1208,1352,168
1392,1144,192,216,200,1168,1312,144
1488,1056,192,248,152,1016,1216,112
1400,904,144,240,64,912,1080,64
1272,736,96,160,64,760,1032,80
1040,624,56,96,48,672,984,32
904,528,24,-8,40,640,976,48
784,528,24,-32,48,592,1016,56
712,552,-24,-24,88,640,1112,104
704,560,-40,-32,112,736,1296,216
720,600,8,-8,160,816,1440,288
760,744,16,48,248,1000,1664,488
840,808,56,64,320,1120,1728,440
944,1024,112,72,400,1312,1640,408
1144,1232,208,136,392,1464,1544,336
1416,1424,264,264,344,1472,1440,240
1624,1416,368,368,304,1416,1344,192
1696,1288,312,384,216,1208,1232,112
1600,1072,240,312,72,1072,1152,88
1432,976,128,216,56,952,1104,72
1152,760,88,104,40,832,1080,72
960,680,0,24,88,776,1112,72
808,632,8,-16,80,752,1200,136
744,600,-16,-8,152,768,1360,184
744,664,8,24,176,848,1488,352
792,728,0,-8,248,976,1600,408
832,832,0,40,352,1104,1672,504
920,912,112,48,360,1240,1696,488
1000,1088,160,56,400,1304,1664,416
1128,1184,200,88,376,1392,1584,344
1336,1288,232,176,320,1376,1472,248
1448,1288,272,224,280,1304,1368,208
1464,1152,208,264,192,1152,1304,136
1368,1016,168,184,152,1064,1208,128
1072,784,64,64,64,848,1152,80
912,688,64,8,96,808,1208,144
760,624,16,-8,136,768,1304,240
728,608,32,-8,136,792,1424,336
688,616,-16,-8,160,808,1552,400
728,672,-16,32,264,864,1648,520
776,784,24,40,320,1000,1768,584
848,888,64,40,416,1144,1696,568
904,1016,72,64,408,1264,1680,504
1048,1136,144,112,392,1368,1592,368
1208,1256,224,160,400,1392,1472,264
1376,1288,200,176,272,1328,1408,192
1432,1200,248,256,248,1224,1312,112
1368,1056,152,200,160,1056,1224,112
1216,840,88,104,88,904,1144,96
1008,688,64,64,32,776,1072,72
848,576,16,-8,56,680,1096,56
720,536,-16,-8,88,656,1200,120
672,528,-24,0,128,648,1264,232
640,560,-32,-24,120,680,1400,344
656,616,-40,8,200,792,1576,432
720,744,56,24,232,880,1664,496
800,800,48,16,280,1024,1648,496
904,944,72,72,336,1176,1616,400
1008,1096,152,96,360,1280,1544,336
1184,1184,216,144,304,1312,1440,208
1408,1256,248,280,272,1272,1344,128
1512,1112,240,312,176,1136,1232,128
1496,1016,184,248,96,1008,1136,64
1408,896,104,200,56,928,1096,56
1256,808,80,152,88,840,1088,80
1040,696,56,80,40,792,1088,64
840,648,0,8,80,768,1136,88
752,584,8,-24,72,720,1248,208
704,608,-8,-24,104,744,1408,296
712,616,8,24,168,816,1560,384
720,704,0,8,312,944,1712,520
792,808,40,48,360,1096,1760,536
904,976,112,88,384,1256,1712,488
1040,1160,200,96,440,1384,1632,416
1240,1296,256,128,384,1480,1536,328
1440,1392,312,256,336,1448,1440,224
1584,1392,328,320,280,1352,1312,144
1664,1232,264,368,192,1200,1184,128
1600,1056,232,328,136,1032,1104,88
1432,936,160,208,112,936,1072,48
1248,840,56,128,64,904,1080,64
984,728,40,16,96,800,1128,104
816,696,24,-8,128,832,1280,192
800,680,8,24,168,872,1416,240
792,736,32,8,224,944,1576,384
832,856,40,56,328,1080,1672,448
864,984,96,32,408,1288,1712,488
984,1104,160,96,448,1392,1616,440
1144,1280,208,144,472,1496,1584,336
1448,1448,352,264,376,1504,1432,248
1648,1360,360,320,296,1400,1352,216
1712,1256,288,432,184,1152,1136,104
1648,1064,208,320,112,1008,1080,32
1472,912,144,240,48,912,1064,104
1232,832,88,120,64,824,1072,32
1008,680,24,24,40,760,1112,56
832,624,16,8,104,768,1168,96
768,608,8,-40,128,768,1312,208
760,680,-8,-16,160,872,1400,256
808,776,40,16,264,984,1568,392
872,880,40,32,328,1144,1640,392
976,1080,144,56,408,1312,1632,408
1096,1256,272,80,464,1544,1608,368
1264,1408,336,176,472,1560,1512,312
1472,1488,376,280,424,1568,1440,256
1624,1496,424,352,336,1432,1280,176
1784,1288,360,480,192,1176,1104,152
1736,1088,296,440,104,1016,1016,56
1648,1024,248,368,64,936,1024,48
1408,920,128,208,80,888,1064,80
1184,848,104,104,80,888,1120,40
1024,784,32,64,104,904,1192,104
880,760,56,32,128,936,1312,200
848,824,32,32,184,1016,1440,256
912,992,120,72,344,1216,1536,344
1024,1184,184,88,440,1456,1632,336
1176,1424,312,168,504,1600,1584,360
1384,1544,376,264,520,1680,1480,304
1544,1536,480,288,432,1592,1360,200
1688,1496,464,432,336,1496,1224,144
1760,1360,480,512,288,1320,1160,112
1752,1216,360,512,200,1256,1088,88
1704,1152,336,456,184,1120,1080,80
1632,1112,312,392,112,1080,1080,104
1528,1032,208,320,112,1048,1112,112
1360,1000,160,192,96,1024,1192,144
1184,952,112,104,152,1032,1232,144
1088,944,104,64,160,1032,1352,168
1000,976,120,80,224,1104,1408,256
976,1048,144,64,272,1200,1480,296
1056,1160,152,88,384,1352,1544,312
1096,1248,224,120,440,1408,1536,296
1240,1360,272,192,464,1512,1480,304
1416,1456,400,224,432,1536,1440,248
1592,1456,456,328,368,1480,1304,176
1624,1352,424,400,304,1360,1224,128
1648,1224,344,440,192,1216,1136,136
1648,1080,256,368,176,1144,1088,88
1560,1040,208,360,152,1064,1088,64
1432,1000,184,216,152,1032,1176,80
1120,936,80,96,168,992,1208,88
960,872,16,48,160,984,1304,208
872,864,80,32,224,1032,1440,280
896,944,96,56,312,1120,1568,392
880,1024,120,48,448,1280,1680,480
976,1152,200,88,512,1408,1672,440
1096,1328,232,120,536,1552,1632,384
1280,1456,384,200,528,1632,1504,328
1464,1496,456,304,496,1648,1448,256
1584,1480,504,384,416,1560,1304,208
1712,1400,432,464,328,1432,1192,160
1744,1264,448,528,224,1264,1120,128
1800,1136,392,528,160,1160,1048,72
1688,1024,264,408,120,1064,1040,56
1536,944,160,296,88,968,1056,40
1288,872,104,152,80,888,1064,72
1040,784,64,72,120,840,1120,128
872,720,40,-8,168,888,1304,208
808,752,48,8,200,960,1448,288
808,800,72,48,288,1152,1624,392
912,976,112,56,384,1296,1728,416
984,1168,176,120,528,1520,1720,432
1160,1392,328,168,592,1656,1688,400
1400,1584,408,256,528,1736,1560,344
1656,1704,464,432,456,1656,1416,240
1848,1664,504,544,344,1520,1240,192
1928,1496,448,552,240,1360,1176,176
1880,1352,384,488,208,1232,1136,96
1736,1232,304,392,152,1104,1128,104
1544,1120,192,264,128,1064,1160,128
1304,952,152,160,104,984,1152,104
1088,872,48,80,160,944,1272,144
