 360,352,-40,8,1360,768,1656,2432
280,272,-80,32,1248,712,1560,2392
336,192,-40,0,1008,576,1504,2224
264,144,-56,0,800,448,1384,2072
280,96,-80,-32,664,400,1304,1912
280,80,-88,-8,600,360,1168,1792
248,96,-104,-24,608,360,1192,1800
264,152,-104,-48,688,384,1216,1904
288,184,-88,-8,816,440,1328,2072
288,256,-80,-24,1064,528,1440,2240
344,280,-72,-32,1264,640,1544,2376
328,320,-40,24,1336,656,1584,2408
352,320,-48,16,1352,712,1616,2440
336,264,-48,-8,1264,680,1592,2384
272,216,-72,-8,1112,640,1528,2328
296,184,-72,-40,944,568,1496,2208
288,88,-96,-40,816,480,1432,2040
264,112,-104,-56,680,408,1320,1960
272,96,-104,-56,624,416,1240,1784
280,112,-96,-56,616,352,1232,1840
280,160,-72,-48,704,408,1280,1912
288,192,-96,-32,856,456,1384,2128
352,272,-32,16,1088,552,1504,2240
392,384,-24,16,1296,640,1592,2344
392,408,0,48,1520,760,1704,2432
416,464,0,16,1600,856,1800,2456
440,424,-24,32,1624,928,1864,2544
376,424,-8,80,1480,912,1792,2504
384,312,-48,40,1360,808,1696,2416
304,264,-96,24,1120,640,1592,2304
352,208,-56,-24,952,560,1488,2160
296,176,-96,8,808,480,1400,2064
288,144,-80,-8,744,416,1400,2000
336,184,-96,-48,752,440,1344,2032
304,208,-48,-24,776,408,1344,1992
312,280,-72,-8,904,464,1368,2112
400,296,-8,24,1008,472,1408,2192
352,360,-40,40,1136,568,1488,2216
440,440,-16,16,1320,608,1536,2248
432,472,-24,48,1376,664,1632,2272
432,472,32,64,1416,712,1640,2320
432,424,-24,24,1392,728,1624,2344
392,464,8,16,1272,648,1632,2296
368,368,-64,-8,1168,624,1552,2296
344,264,-48,-24,1000,544,1480,2216
312,232,-80,-16,816,472,1416,2032
288,224,-64,-16,712,400,1320,1904
288,224,-64,-32,680,376,1248,1888
312,216,-56,-32,712,360,1272,1976
320,256,-88,24,832,400,1320,2040
416,352,-40,40,960,472,1392,2104
360,400,-48,56,1136,520,1440,2128
408,480,0,40,1296,576,1472,2112
448,600,-16,56,1496,688,1560,2128
504,600,8,64,1544,768,1624,2136
464,600,-8,64,1536,800,1664,2248
