0,-17626,2,18056,107038,107039,142717,142718,1,1,1,1
0,-17626,1,18055,142716,142717,231700,231700,1,1,1,1
0,-35678,1,17629,142713,160342,213645,213646,1,1,1,1
0,-35679,-17626,18053,124660,142713,178393,178394,1,1,1,1
0,-35678,1,35680,142715,160341,285429,320681,1,1,1,1
0,-35679,-18052,17627,124661,124662,177967,231271,1,1,1,1
0,-35677,2,35680,142716,160344,231702,231703,1,1,1,1
0,-35678,1,18057,107038,124664,196022,196023,1,1,1,1
0,-35681,-17628,18056,124661,142714,267377,249324,1,1,1,1
0,-35679,-17625,18054,107036,142715,178393,196020,1,1,1,1
0,-53733,-18052,17627,106609,124662,177970,177971,1,1,1,1
0,-35681,-18053,17627,106609,124664,177969,160343,1,1,1,1
0,-35679,-17625,17627,71358,88984,160343,142717,1,1,1,1
0,-35680,1,17627,71358,107036,124667,107037,1,1,1,1
0,-35679,-17626,18054,89411,107039,142720,142721,1,1,1,1
0,-18053,1,17627,106613,124666,160346,142293,1,1,1,1
0,-53306,-17627,2,53731,71357,88984,88985,1,1,1,1
0,-35679,-18053,17627,88984,124664,160344,142291,1,1,1,1
0,-35680,-18053,17628,88984,124662,160344,142289,1,1,1,1
0,-35252,-17625,18056,89411,125090,214075,178396,1,1,1,1
0,-18054,2,17627,106607,124662,196020,177968,1,1,1,1
0,-17627,1,17627,71358,88985,107038,88986,1,1,1,1
0,-35678,2,17627,107036,124664,160342,160343,1,1,1,1
0,-17626,1,18056,89412,107039,142718,125092,1,1,1,1
0,-17628,1,17627,107036,124662,160344,142716,1,1,1,1
0,-18053,1,17627,106611,124664,196021,177968,1,1,1,1
0,-35679,-17626,2,53732,88984,124664,107038,1,1,1,1
0,-35679,-17625,18056,89411,124663,178396,142716,1,1,1,1
0,-35681,-17625,18056,107036,124663,231699,178395,1,1,1,1
0,-18052,2,35680,124663,142716,267379,231699,1,1,1,1
0,-17626,1,17628,107037,124663,177971,177972,1,1,1,1
0,-18052,2,35679,106609,124663,196021,177969,1,1,1,1
0,-35678,1,18055,71358,107038,142717,142718,1,1,1,1
0,-35678,1,17629,70933,106613,142293,124667,1,1,1,1
0,-35678,2,18054,107037,125090,214074,196022,1,1,1,1
0,-35681,-17626,17627,88984,107038,177970,160344,1,1,1,1
0,-35251,1,18054,107038,125093,196025,178399,1,1,1,1
0,-35678,2,18056,71359,107038,160347,142717,1,1,1,1
0,-35679,-18053,17629,71359,88986,142294,124666,1,1,1,1
0,-53306,-17625,18054,71359,89412,142719,125093,1,1,1,1
0,-53307,-17626,18053,53733,88985,124664,124665,1,1,1,1
0,-35681,-17628,17627,71357,88984,142717,124662,1,1,1,1
0,-35680,1,17627,71356,106610,142288,142289,1,1,1,1
0,-35679,-17626,18054,71356,88985,142716,124664,1,1,1,1
0,-35681,-18053,17627,71356,88983,106609,106610,1,1,1,1
0,-53731,-18052,17629,71363,88989,124671,107043,1,1,1,1
0,-35681,-17627,17627,53305,88983,124662,124663,1,1,1,1
0,-35681,-18053,1,53305,71359,124665,106611,1,1,1,1
0,-35253,-17626,18056,71359,89412,125091,125092,1,1,1,1
0,-18054,2,35254,106610,124664,160343,142290,1,1,1,1
