 200,952,648,-16
184,920,632,-32
232,952,648,0
200,960,616,0
192,936,608,-24
224,968,608,0
232,1008,664,8
240,1024,680,16
248,1016,696,16
272,1024,672,32
288,1064,696,56
264,1040,688,32
248,1048,656,24
248,1024,688,-24
248,1024,680,8
232,1024,640,0
224,984,640,-8
248,1008,656,-8
216,1024,656,-40
232,984,632,16
240,992,648,-16
224,976,672,-16
208,992,616,16
200,992,608,-16
208,968,600,-32
216,992,600,-16
144,968,552,-56
184,936,584,-64
152,928,512,-56
152,928,512,-56
176,920,496,-64
160,896,496,-104
104,864,456,-88
112,864,424,-88
136,856,456,-80
96,864,424,-88
104,872,384,-104
72,824,376,-120
104,792,400,-96
104,840,400,-96
88,856,424,-88
104,896,392,-72
96,896,416,-80
96,856,376,-104
88,864,400,-104
88,856,392,-56
80,840,416,-96
96,832,392,-96
88,816,400,-120
88,856,416,-88
80,848,384,-72
88,848,368,-80
88,824,408,-112
96,824,400,-80
96,872,416,-72
104,856,416,-96
112,856,424,-112
128,840,376,-72
128,888,456,-72
136,856,424,-64
88,856,400,-72
136,856,416,-96
104,864,384,-96
120,832,400,-64
96,824,376,-80
96,824,376,-80
96,816,360,-96
104,832,384,-88
112,832,368,-112
112,840,376,-112
120,848,392,-80
136,896,416,-64
136,888,432,-48
136,872,456,-64
128,888,408,-32
120,896,472,-56
168,912,472,-72
152,928,456,-64
128,904,480,-64
152,896,456,-56
160,912,480,-64
192,936,504,-32
192,912,504,-72
160,920,528,-72
168,944,560,-56
192,944,568,-24
176,968,552,-16
152,976,552,-40
192,944,528,-48
160,936,528,-56
176,960,560,-40
200,1000,592,0
184,928,568,-24
184,952,560,-56
168,944,560,-40
184,936,568,-40
184,968,576,-24
184,944,552,-24
184,944,552,-24
184,952,552,-24
