 -184,-272,-424,-408
-200,-280,-408,-408
-208,-256,-400,-384
-184,-256,-448,-408
-168,-264,-440,-408
-176,-264,-424,-384
-208,-296,-456,-424
-240,-264,-416,-416
-224,-288,-448,-376
-264,-312,-424,-424
-240,-304,-448,-408
-232,-312,-440,-416
-216,-280,-432,-400
-224,-280,-448,-408
-200,-264,-424,-384
-208,-256,-424,-416
-184,-256,-408,-408
-224,-280,-432,-432
-256,-288,-432,-448
-264,-296,-456,-400
-240,-296,-440,-400
-208,-288,-464,-408
-240,-264,-440,-368
-208,-288,-432,-368
-216,-288,-416,-400
-192,-304,-472,-432
-192,-304,-472,-432
-224,-280,-448,-408
-216,-272,-424,-416
-200,-272,-448,-408
-208,-296,-440,-400
-208,-272,-440,-424
-248,-304,-448,-432
-232,-288,-432,-416
-184,-272,-400,-392
-184,-280,-456,-384
-216,-264,-432,-400
-224,-256,-416,-392
-168,-272,-464,-408
-192,-248,-408,-432
-168,-256,-416,-392
-144,-216,-384,-360
-152,-216,-392,-384
-160,-200,-400,-416
-168,-216,-408,-408
-144,-208,-384,-408
-184,-224,-416,-416
-184,-216,-376,-376
-144,-216,-400,-376
-120,-224,-416,-376
-136,-208,-384,-368
-128,-216,-400,-392
-152,-200,-400,-408
-136,-208,-384,-368
-128,-184,-440,-392
-120,-176,-384,-344
-104,-176,-384,-352
-104,-176,-384,-352
-96,-184,-392,-392
-88,-184,-408,-384
-96,-160,-392,-360
-112,-176,-384,-400
-112,-184,-384,-352
-88,-168,-384,-360
-96,-136,-352,-376
-88,-120,-392,-360
-80,-136,-360,-376
-64,-128,-400,-360
-56,-120,-352,-352
-56,-128,-376,-344
-80,-136,-368,-352
-80,-136,-384,-368
-80,-144,-392,-352
-80,-168,-392,-416
-128,-152,-384,-384
-120,-200,-400,-392
-152,-208,-392,-368
-144,-176,-416,-376
-136,-208,-392,-352
-120,-176,-392,-368
-144,-184,-384,-384
-152,-184,-400,-384
-128,-208,-376,-376
-128,-200,-408,-392
-104,-216,-376,-352
-144,-208,-424,-376
-144,-208,-408,-392
-152,-200,-400,-376
-136,-192,-384,-360
-144,-232,-392,-376
-144,-232,-392,-376
-136,-224,-400,-352
-128,-168,-376,-360
-136,-176,-384,-400
-128,-160,-368,-384
-128,-200,-368,-392
-104,-168,-400,-416
-128,-184,-400,-360
-96,-176,-376,-336
-88,-168,-368,-360
