 -528,-504,-512,-408
-512,-480,-472,-464
-520,-512,-480,-416
-528,-496,-480,-416
-496,-504,-512,-408
-496,-504,-512,-408
-496,-480,-480,-416
-504,-472,-480,-360
-520,-520,-472,-352
-504,-504,-488,-344
-496,-472,-472,-376
-488,-488,-504,-352
-544,-520,-480,-360
-496,-544,-464,-392
-504,-504,-480,-392
-520,-512,-512,-384
-504,-488,-520,-408
-528,-536,-520,-448
-520,-512,-504,-456
-528,-528,-512,-432
-520,-520,-496,-432
-568,-504,-448,-432
-512,-536,-464,-440
-536,-512,-480,-416
-512,-496,-496,-448
-520,-528,-464,-432
-520,-472,-464,-416
-512,-520,-448,-456
-504,-496,-488,-448
-528,-520,-480,-424
-536,-520,-488,-440
-552,-504,-472,-408
-536,-536,-480,-416
-536,-520,-504,-416
-528,-496,-472,-440
-528,-496,-472,-440
-536,-520,-464,-424
-528,-496,-480,-416
-528,-504,-488,-472
-528,-520,-496,-400
-512,-472,-480,-416
-496,-496,-456,-424
-504,-488,-456,-448
-480,-520,-488,-440
-512,-504,-488,-448
-496,-512,-480,-464
-488,-504,-496,-424
-528,-488,-472,-448
-528,-496,-496,-464
-480,-520,-464,-440
-480,-504,-488,-448
-536,-512,-448,-480
-520,-504,-472,-520
-520,-520,-480,-464
-496,-528,-488,-464
-504,-464,-496,-448
-520,-512,-480,-456
-552,-496,-520,-456
-512,-528,-480,-424
-512,-504,-488,-440
-536,-504,-488,-440
-504,-504,-472,-408
-504,-520,-480,-424
-528,-480,-464,-440
-544,-472,-472,-432
-504,-528,-488,-448
-504,-512,-480,-440
-504,-512,-480,-440
-520,-488,-496,-416
-496,-512,-480,-472
-488,-504,-456,-440
-488,-488,-496,-488
-536,-512,-496,-472
-504,-488,-488,-440
-520,-544,-472,-448
-528,-520,-464,-440
-520,-512,-504,-464
-520,-504,-488,-432
-496,-488,-448,-432
-520,-496,-496,-448
-520,-496,-456,-464
-480,-520,-464,-408
-512,-480,-464,-424
-472,-488,-472,-392
-464,-488,-472,-392
-480,-512,-464,-400
-512,-520,-480,-400
-520,-512,-464,-416
-528,-456,-472,-368
-488,-504,-464,-376
-496,-480,-440,-376
-504,-504,-456,-400
-488,-504,-480,-400
-496,-456,-480,-440
-536,-504,-464,-392
-504,-488,-480,-416
-496,-504,-464,-432
-512,-512,-464,-456
-488,-472,-440,-392
-488,-472,-440,-392
