18,-36,-17,-171,1,1,1
35,-35,-18,-181,1,1,1
36,-36,-17,-171,1,1,1
0,-36,0,-361,1,1,1
18,-36,-1,-361,1,1,1
0,-35,-18,-181,1,1,1
0,-36,-18,-181,1,1,1
0,-36,-18,-361,1,1,1
18,-53,-18,-351,1,1,1
18,-53,-17,-351,1,1,1
0,-36,-18,-541,1,1,1
0,-35,-18,-541,1,1,1
0,-54,-35,-531,1,1,1
0,-53,-36,-361,1,1,1
0,-53,-17,-531,1,1,1
0,-89,-54,-721,1,1,1
-17,-71,-35,-711,1,1,1
0,-71,-36,-531,1,1,1
18,-71,-35,-531,1,1,1
0,-53,-35,-711,1,1,1
0,-54,-18,-531,1,1,1
0,-72,-36,-531,1,1,1
0,-54,-35,-531,1,1,1
18,-53,-36,-541,1,1,1
0,-53,-18,-541,1,1,1
18,-36,-18,-181,1,1,1
0,-36,-18,-531,1,1,1
18,-36,-18,-351,1,1,1
0,-36,-36,-361,1,1,1
0,-36,-18,-541,1,1,1
0,-72,-35,-351,1,1,1
0,-36,-17,-351,1,1,1
17,-53,-36,-361,1,1,1
18,-53,-18,-541,1,1,1
0,-72,-36,-541,1,1,1
0,-53,-36,-361,1,1,1
0,-54,-18,-361,1,1,1
18,-35,-36,-541,1,1,1
0,-71,-35,-531,1,1,1
0,-72,-36,-531,1,1,1
0,-54,-53,-531,1,1,1
0,-53,-53,-531,1,1,1
0,-36,-35,-351,1,1,1
0,-53,-35,-351,1,1,1
18,-72,-35,-711,1,1,1
0,-89,-53,-531,1,1,1
18,-71,-53,-711,1,1,1
0,-53,-53,-711,1,1,1
0,-53,-53,-711,1,1,1
17,-71,-71,-531,1,1,1
18,-71,-53,-711,1,1,1
18,-72,-36,-721,1,1,1
18,-54,-54,-541,1,1,1
0,-53,-53,-531,1,1,1
18,-54,-35,-531,1,1,1
0,-53,-35,-531,1,1,1
0,-17,-36,-361,1,1,1
