-197,-89,-71,171,1,1,1
-142,-53,-71,181,1,1,1
-143,-53,-106,541,1,1,1
-160,-53,-142,541,1,1,1
-125,-35,-107,361,1,1,1
-107,-36,-90,361,1,1,1
-106,-36,-89,181,1,1,1
-89,-35,-89,361,1,1,1
-107,-54,-89,181,1,1,1
-196,-54,-195,711,1,1,1
-214,-107,-197,891,1,1,1
-231,-107,-161,711,1,1,1
-161,-89,-142,531,1,1,1
-125,-35,-90,181,1,1,1
-143,-107,-125,361,1,1,1
-178,-71,-125,361,1,1,1
-89,-35,-107,181,1,1,1
-124,-18,-71,171,1,1,1
-89,-36,-89,171,1,1,1
-89,-36,-90,181,1,1,1
-90,-36,-89,351,1,1,1
-125,-71,-89,181,1,1,1
-89,-54,-89,361,1,1,1
-107,-36,-72,361,1,1,1
-89,-36,-89,181,1,1,1
-89,-36,-89,181,1,1,1
-90,-36,-90,181,1,1,1
-125,-54,-53,171,1,1,1
-89,-18,-71,181,1,1,1
-107,-36,-71,361,1,1,1
-89,-35,-89,171,1,1,1
-107,-36,-72,361,1,1,1
-106,-54,-90,181,1,1,1
-143,-53,-71,181,1,1,1
-107,-36,-72,181,1,1,1
-89,-35,-107,531,1,1,1
-89,-53,-71,361,1,1,1
-89,-35,-107,351,1,1,1
-125,-53,-107,181,1,1,1
-124,-71,-124,361,1,1,1
-179,-71,-143,351,1,1,1
-214,-89,-125,351,1,1,1
-125,-71,-125,361,1,1,1
-125,-54,-125,361,1,1,1
-125,-72,-125,181,1,1,1
-89,-54,-125,171,1,1,1
-106,-54,-125,181,1,1,1
-89,-54,-125,541,1,1,1
-125,-53,-90,181,1,1,1
-108,-36,-89,171,1,1,1
-107,-53,-89,181,1,1,1
-72,-54,-89,01,1,1,1
-89,-35,-71,181,1,1,1
-89,-53,-53,01,1,1,1
-72,-36,-71,01,1,1,1
-107,-35,-53,171,1,1,1
